field,title,summary,cleaned_summary,negative_p,neutral_p,postive_p,subjectivity,subjectivity type
politics,White House Unveils Strategy to Combat Domestic Extremism,the plan highlights a shift in the us approach to counterterrorism which for decades focused on fighting foreign terrorists,plan highlights shift us approach counterterrorism decades focused fighting foreign terrorists,0.262,0.635,0.103,0.125,Objective
politics,More Power Lines or Rooftop Solar Panels: The Fight Over Energy’s Future,the president and energy companies want new transmission lines to carry electricity from large solar and wind farms some environmentalists and homeowners are pushing for smaller more local systems,president energy companies want new transmission lines carry electricity large solar wind farms environmentalists homeowners pushing smaller local systems,0,0.888,0.112,0.345779221,Objective
politics,"After All-Night Hearing, Texas Republicans Advance Voting Measure",a republicanbacked bill to overhaul the states voting system cleared a key house committee in the legislature on sunday morning after nearly 24 hours of testimony,republicanbacked bill overhaul states voting system cleared key house committee legislature sunday morning nearly 24 hours testimony,0,0.947,0.053,0.7,Opinion
politics,Janet Yellen Warns That Coronavirus Variants Threaten Global Recovery,at the end of a gathering of the finance ministers of the group of 20 nations the us treasury secretary called for an acceleration of vaccine distribution worldwide,end gathering finance ministers group 20 nations us treasury secretary called acceleration vaccine distribution worldwide,0,0.938,0.062,0,Factual
politics,How Did Allison Highwolf Die? Distrust Fuels a Mystery in Indian Country.,when a northern cheyenne family questioned their daughters untimely death official indifference deepened their pain  and their suspicions,northern cheyenne family questioned daughters untimely death official indifference deepened pain suspicions,0.486,0.514,0,0,Factual
politics,"Athan Theoharis, Chronicler of F.B.I. Abuses, Dies at 84",he found his way through the formerly unobtainable files of j edgar hoover whom he called an insubordinate bureaucrat in charge of a lawless organization,found way formerly unobtainable files j edgar hoover called insubordinate bureaucrat charge lawless organization,0,1,0,0,Factual
politics,Texas Man Who Waited Hours to Vote Is Arrested on Charges of Illegal Voting,hervis rogers was ineligible to cast a ballot in the 2020 presidential primary because he was still on parole according to the states attorney general he now faces four decades in prison,hervis rogers ineligible cast ballot 2020 presidential primary still parole according states attorney general faces four decades prison,0.096,0.904,0,0.5,Objective
politics,Haiti’s Troop Request Presents Hard Choice for Biden,pentagon officials noted that the request was broad and did not specify the number or types of forces needed,pentagon officials noted request broad specify number types forces needed,0.064,0.936,0,0.3125,Objective
politics,Global Tax Overhaul Gains Steam as G20 Backs New Levies,the approach marks a reversal of years of economic policies that embraced low taxes as a way for countries to attract investment and fuel growth,approach marks reversal years economic policies embraced low taxes way countries attract investment fuel growth,0.072,0.753,0.175,0.25,Objective
politics,The Big Question of the 2022 Midterms: How Will the Suburbs Swing?,democrats and republicans are already jockeying for a crucial voting bloc that soured on donald trump tilted to joe biden and now holds the key to the second half of the presidents term,democrats republicans already jockeying crucial voting bloc soured donald trump tilted joe biden holds key second half presidents term,0,1,0,0.453333333,Objective
politics,Biden Warns Putin to Act Against Russian Ransomware Group,mr bidens phone call appeared to be a pointed ultimatum to stop the hackers who have attacked computer networks in the united states with relative impunity,mr bidens phone call appeared pointed ultimatum stop hackers attacked computer networks united states relative impunity,0.168,0.742,0.09,0,Factual
politics,Biden Administration Punts on Due Process Rights for Guantánamo Detainees,an anticipated brief filed under seal is said to take no position on whether the constitutions due process clause protects detainees,anticipated brief filed seal said take position whether constitutions due process clause protects detainees,0.094,0.809,0.098,0.354166667,Objective
politics,"Texas Democrats Weigh Options for Blocking Voting Bill, Including Flight",some democrats want to flee the state to deny republicans a quorum and prevent a vote on stringent new restrictions on voting others want to fight on procedural grounds,democrats want flee state deny republicans quorum prevent vote stringent new restrictions voting others want fight procedural grounds,0.153,0.734,0.113,0.454545455,Objective
politics,"Biden Fires Andrew Saul, head of Social Security Administration",andrew saul a trump holdover drew democrats ire and has vowed to fight his dismissal,andrew saul trump holdover drew democrats ire vowed fight dismissal,0.157,0.843,0,0,Factual
politics,Oath Keepers Leader Sits for F.B.I. Questioning Against Legal Advice,in a bold move stewart rhodes the founder and leader of the rightwing militia group sat for an interview with federal agents after they seized his phone in may,bold move stewart rhodes founder leader rightwing militia group sat interview federal agents seized phone may,0,0.915,0.085,0.666666667,Opinion
